book,description,price,nprice
Компьютерное зрение на Python. Первые шаги,"В книге изложен учебный курс для школьников, начинающих изучать компьютерное ...",559 ₽,559.0
Python для юных программистов,Книга написана на основе опыта обучения программированию на языке Python в кр...,1059 ₽,1059.0
"Справочник PYTHON.  Кратко, быстро, под...",Данный справочник содержит всю ключевую информацию о Python в удобной и нагля...,519 ₽,519.0
Python. Экспресс-курс,Вы уже умеете кодить на одном или нескольких языках программирования? Тогда н...,2039 ₽,2039.0
"HTML, CSS, SCRATCH, PYTHON. Моя первая ...","Хотите научиться создавать программы и сайты,  но не знаете, как это сделать?...",609 ₽,609.0
Программирование на Python для начинающих,"Книга ""Программирование на  Python для начинающих"" является исчерпывающим рук...",809 ₽,809.0
Глубокое обучение с подкреплением: теор...,Глубокое обучение с подкреплением (глубокое RL) сочетает в себе два подхода к...,2509 ₽,2509.0
"Python и наука о данных для чайников, 2...","Наука о данных - это вовсе не страшно!Интересуетесь наукой о данных, но немно...",2119 ₽,2119.0
Легкий способ выучить Python 3 еще глубже,"Воплотите ваши идеи в код самого высокого качества!
Зед Шоу – один из тех, к...",1029 ₽,1029.0
Байесовский анализ на Python,"Эта книга, посвященная методике вероятностного программирования, научит вас с...",2359 ₽,2359.0
Вероятностное программирование на Pytho...,"Байесовские методы пугают формулами многих «айтишников», но без анализа стати...",1999 ₽,1999.0
Искусственный интеллект с примерами на ...,В этой книге исследуются различные сценарии применения искусственного интелле...,2349 ₽,2349.0
Стандартная библиотека Python 3,"В этой книге Даг Хеллман, эксперт по языку Python, описывает все основные раз...",6449 ₽,6449.0
Python для сложных задач: наука о данны...,Книга «Python Data Science Handbook» - это подробное руководство по самым раз...,1959 ₽,1959.0
Глубокое обучение на Python,"Глубокое обучение — Deep learning — это набор алгоритмов машинного обучения, ...",1739 ₽,1739.0
Объяснимые модели искусственного интелл...,"В этой книге рассматриваются так называемые модели ""черного ящика"" для повыше...","3409 ₽

									Новинка",3409.0
PYTHON. К вершинам мастерства. ,"Не тратьте зря времени, пытаясь подогнать Python под способы программирования...",6549 ₽,6549.0
Python.Создаем программы и игры,Данная книга позволяет уже с первых шагов создавать свои программы на языке P...,679 ₽,679.0
Начинаем программировать на Python,"Изложены принципы программирования, с помощью которых читатель приобретет нав...",2619 ₽,2619.0
Python и DevOps: Ключ к автоматизации L...,"За последнее десятилетие технологии сильно изменились. Данные стали хитом, об...",2529 ₽,2529.0
Основы искусственного интеллекта в прим...,Описаны инструментальные средства для разработки приложений искусственного ин...,1239 ₽,1239.0
Обработка естественного языка. Python и...,"Python и spaCy помогут вам быстро и легко создавать NLP-приложения: чат-боты,...",1539 ₽,1539.0
Научное программирование на Python,"Книга начинается с общих концепций программирования, таких как циклы и функци...",4189 ₽,4189.0
Профессиональная разработка на Python,"В книге описаны современные передовые практики и методы, позволяющие создават...",4459 ₽,4459.0
Python. Непрерывная интеграция и доставка,"Изучите методы и инструменты, которые обеспечивают плавный и эффективный проц...",1439 ₽,1439.0
Легкий способ выучить Python 3,"Новая книга автора знаменитого бестселлера-самоучителя ""Легкий способ выучить...",1029 ₽,1029.0
Программируем на Python,"Эта книга — идеальное пособие для начинающих изучать Python. Руководство, нап...",1359 ₽,1359.0
Python : Карманный справочник,Этот краткий справочник по Python карманного типа обновлен с учетом версий 3....,1409 ₽,1409.0
Чистый Python. Тонкости программировани...,"Изучение всех возможностей Python — сложная задача, а с этой книгой вы сможет...",1529 ₽,1529.0
"Алгоритмы. Справочник с примерами на C,...","Если вы считаете, что скорость решения той или иной задачи зависит, в первую ...",2699 ₽,2699.0
Миссия: Python. Создаем игры вместе с д...,Добро пожаловать в увлекательное космическое путешествие по просторам бескрай...,"1589 ₽

									Новинка",1589.0
Python. Исчерпывающее руководство,Разнообразие возможностей современного Python становится испытанием для разра...,2219 ₽,2219.0
Высокопроизводительные Python-приложени...,"Эта книга ориентирована на профессиональных Python-программистов, разрабатыва...",1809 ₽,1809.0
Искусственный интеллект и компьютерное ...,"Кем бы вы ни были — инженером-программистом, стремящимся войти в мир глубоког...",3739 ₽,3739.0
Python без проблем: решаем реальные зад...,"Компьютеры - это мощные машины для решения задач, способные делать практическ...",1599 ₽,1599.0
Программирование на языке Python. Среды...,Рассмотрены основные практические навыки работы в среде PyCharm. В качестве б...,719 ₽,719.0
Задачи по дискретной математике  с алго...,В учебном пособии включены задачи и упражнения вузовского курса дискретной ма...,2159 ₽,2159.0
"Python для детей, которые пока не прогр...",Назначение книги - помочь ребёнку 10-13 лет сделать первые шаги в програм-мир...,1159 ₽,1159.0
Python для сетевых инженеров. Автоматиз...,"Сети образуют основу для развертывания, поддержки и обслуживания приложений. ...",3769 ₽,3769.0
Устройство и программирование автономны...,Эта книга посвящена созданию интеллектуального робота и разработке кода для е...,3409 ₽,3409.0
